ID	size	type	pro_type
FBgn0030612	0.50785505	2.78676	tran
FBgn0039531	0.591662883	0.337697	tran
map00290	2	1	pathway
map00300	2	1	pathway
FBgn0036117	0.712571007	0.131136	tran
map00310	2	1	pathway
FBgn0033403	0.719836294	0.6683	tran
FBgn0286198	4.803065496	0.166317	tran
FBgn0038795	0.519216094	5.64951	tran
FBgn0029766	0.705263702	1.08577	tran
FBgn0036147	0.567894181	0.608086	tran
FBgn0051109	0.965482065	0.368486	tran
FBgn0036839	0.75421414	0.470292	tran
FBgn0263993	0.5224605	0.465517	tran
FBgn0033061	0.592049561	0.295414	tran
FBgn0032707	0.547753285	0.236572	tran
FBgn0003862	1.206752178	0.015092	tran
FBgn0263755	0.764549796	0.112509	tran
FBgn0033830	0.512461037	0.25578	tran
FBgn0014903	0.782067355	0.076847	tran
map00330	2	1	pathway
FBgn0013307	1.114875028	21.0445	tran
FBgn0022774	0.501976427	8.94651	tran
FBgn0000045	0.633673114	0.779408	tran
FBgn0036750	1.569503688	0.16712	tran
FBgn0026190	1.241311102	0.378654	tran
FBgn0035915	0.789113666	0.110095	tran
map00350	2	1	pathway
FBgn0033367	1.404610969	3.35044	tran
FBgn0283437	0.821235249	2.76229	tran
FBgn0041710	3.688622488	0.932752	tran
FBgn0038858	0.619658384	12.8264	tran
FBgn0037696	1.329887204	4.29797	tran
FBgn0004034	2.472624871	0.480024	tran
FBgn0005626	0.633346968	1.33461	tran
FBgn0041711	0.500015364	3.70481	tran
FBgn0041709	1.571648748	0.21967	tran
FBgn0040211	0.554601221	1.96025	tran
FBgn0034856	0.756058225	1.10137	tran
FBgn0259977	0.596619533	0.895893	tran
FBgn0032601	0.816397609	0.070337	tran
map00360	2	1	pathway
map00380	2	1	pathway
FBgn0035206	1.567081282	1.48175	tran
FBgn0287831	0.511459161	9.17465	tran
map00400	2	1	pathway
map00410	2	1	pathway
FBgn0004516	1.120724566	0.787098	tran
map00430	2	1	pathway
FBgn0030932	0.93584012	0.031996	tran
map00450	2	1	pathway
FBgn0027083	0.55447499	0.135519	tran
FBgn0031041	0.855993173	0.094446	tran
map00470	2	1	pathway
map00480	2	1	pathway
FBgn0033521	4.362041196	0.746333	tran
FBgn0010039	1.274255989	6.99085	tran
FBgn0063498	0.944507926	10.7822	tran
FBgn0063491	0.507523759	92.7365	tran
FBgn0001149	0.69019919	22.4717	tran
FBgn0063497	0.647657145	17.8233	tran
FBgn0033518	1.510562633	4.83801	tran
FBgn0063495	1.522623346	4.68875	tran
FBgn0034335	0.636020523	15.7179	tran
FBgn0033817	0.969016287	2.43044	tran
FBgn0034354	1.002751429	2.26433	tran
FBgn0051198	2.380533363	0.384352	tran
FBgn0033520	0.716119478	7.80779	tran
FBgn0052196	1.053438592	1.78809	tran
FBgn0063496	0.531669951	4.49721	tran
FBgn0063492	1.484278859	2.52377	tran
FBgn0058470	0.512399415	1.5731	tran
FBgn0010041	3.956012843	0.058189	tran
FBgn0042206	0.948157773	0.676481	tran
FBgn0086348	0.714674339	0.320235	tran
FBgn0038897	0.752137615	0.073227	tran
FBgn0285963	0.522712232	0.036567	tran
map00500	2	1	pathway
FBgn0000078	2.619074257	16.7633	tran
FBgn0000079	1.370018059	14.6049	tran
FBgn0003748	0.8267293	4.3838	tran
FBgn0266064	0.624689513	4.92371	tran
FBgn0034618	0.869060747	0.294699	tran
FBgn0031907	0.664434102	2.18205	tran
FBgn0265180	0.629465834	1.41119	tran
FBgn0265191	0.520596799	0.094102	tran
map00510	2	1	pathway
FBgn0053303	2.880391886	1.19903	tran
FBgn0032234	1.722580095	0.404352	tran
FBgn0039639	0.87049716	2.52151	tran
FBgn0027538	0.534955994	2.63272	tran
FBgn0029906	0.591357807	1.80301	tran
FBgn0011297	0.535937688	2.07782	tran
FBgn0263852	0.534978979	0.621944	tran
map00511	2	1	pathway
FBgn0027611	0.654039096	4.98822	tran
FBgn0041629	0.569196204	7.07549	tran
FBgn0030839	0.611448703	0.523146	tran
map00512	2	1	pathway
FBgn0051956	1.184743058	1.86287	tran
FBgn0030984	2.613244553	0.275399	tran
FBgn0050463	0.5156277	0.691707	tran
FBgn0032078	0.81166338	0.431494	tran
FBgn0030930	1.058707382	0.137982	tran
FBgn0031466	0.53142249	0.572727	tran
FBgn0036529	0.594703334	0.070459	tran
map00513	2	1	pathway
map00514	2	1	pathway
FBgn0034959	0.537354819	6.92064	tran
FBgn0011591	0.584820066	2.9731	tran
FBgn0027791	1.188172114	0.284388	tran
FBgn0003292	0.586109571	0.364016	tran
FBgn0037855	0.546093265	0.046567	tran
map00515	2	1	pathway
map00520	2	1	pathway
FBgn0052220	1.12344598	5.61207	tran
FBgn0031717	1.558691953	0.753788	tran
FBgn0263199	0.803073303	1.54854	tran
FBgn0029801	1.085923575	0.421487	tran
FBgn0036298	2.477200445	0.017588	tran
FBgn0038045	0.712830478	0.400047	tran
FBgn0001311	0.771030424	0.065178	tran
FBgn0022700	0.574159354	0.224571	tran
map00531	2	1	pathway
FBgn0032843	0.714027094	3.61531	tran
FBgn0033836	1.845227623	0.264642	tran
FBgn0260475	5.784518867	0.335407	tran
FBgn0036768	1.069461023	0.501187	tran
FBgn0038660	0.810068871	0.042384	tran
map00532	2	1	pathway
FBgn0003089	1.996646055	0.074539	tran
FBgn0033500	0.54619016	0.845822	tran
FBgn0030662	0.538913488	0.27516	tran
FBgn0263005	0.518058869	0.244261	tran
map00533	2	1	pathway
map00534	2	1	pathway
FBgn0265974	1.02817403	0.454377	tran
map00543	2	1	pathway
FBgn0025835	1.795083764	0.077563	tran
FBgn0052645	0.619323846	0.323782	tran
map00561	2	1	pathway
FBgn0039471	2.501347671	12.4894	tran
FBgn0039472	2.295054263	9.07525	tran
FBgn0259734	1.110277226	0.76199	tran
FBgn0027579	0.983409575	1.68869	tran
FBgn0261549	1.071143347	0.866375	tran
FBgn0033214	1.136603718	0.233937	tran
FBgn0085413	0.54798064	0.527364	tran
FBgn0033216	3.855718634	0.292492	tran
FBgn0016078	0.5563619	1.27858	tran
FBgn0037165	1.425433401	0.570603	tran
FBgn0004797	1.118926843	0.202488	tran
FBgn0036367	1.266768848	0.668124	tran
FBgn0029831	0.62271297	0.609094	tran
FBgn0041087	0.979421185	0.215037	tran
FBgn0038070	0.935753803	0.270325	tran
FBgn0030884	0.752141543	0.128884	tran
FBgn0031976	1.18571803	0.089063	tran
map00562	2	1	pathway
FBgn0025885	0.5905867	28.7546	tran
FBgn0004611	1.458380131	0.256656	tran
FBgn0036560	0.811485779	4.52934	tran
FBgn0037063	0.6669322	7.85444	tran
FBgn0036550	0.726182155	5.87366	tran
FBgn0023508	0.80991969	0.845293	tran
FBgn0267350	0.529768789	1.09909	tran
FBgn0031636	0.690407284	1.57057	tran
FBgn0028497	0.559972628	1.08033	tran
FBgn0050295	1.060172781	0.463121	tran
FBgn0036273	0.5321087	0.274934	tran
map00563	2	1	pathway
FBgn0023545	0.864776873	5.61981	tran
FBgn0035464	0.833808957	0.985571	tran
FBgn0036893	0.570573677	3.10512	tran
FBgn0031997	0.533912007	1.48216	tran
FBgn0266439	0.530222693	0.259743	tran
map00564	2	1	pathway
FBgn0034588	0.594263281	5.27785	tran
FBgn0031735	1.789887289	0.353248	tran
FBgn0031815	0.782764784	0.389188	tran
FBgn0286511	1.243668827	0.029033	tran
FBgn0040212	1.062241236	0.07457	tran
FBgn0033170	0.528881183	0.578211	tran
FBgn0263048	0.545374244	0	tran
map00565	2	1	pathway
FBgn0033983	0.517721349	0.937748	tran
FBgn0032850	0.860906073	0.208447	tran
FBgn0025809	0.682129815	0.245809	tran
map00590	2	1	pathway
FBgn0000056	0.669944557	26.4385	tran
map00591	2	1	pathway
map00592	2	1	pathway
map00600	2	1	pathway
FBgn0038142	1.859505265	1.48508	tran
FBgn0037958	0.947267308	0.290943	tran
FBgn0001941	0.510375376	0.341848	tran
map00601	2	1	pathway
FBgn0031986	1.494626442	0.089249	tran
map00604	2	1	pathway
FBgn0036662	0.881291394	0.108919	tran
map00620	2	1	pathway
FBgn0031143	1.091754313	1.01148	tran
FBgn0002719	0.722827482	0.753662	tran
FBgn0283450	0.527470857	0.057875	tran
map00630	2	1	pathway
FBgn0030347	0.751502892	0.252293	tran
map00640	2	1	pathway
map00650	2	1	pathway
FBgn0040349	3.113407175	4.25498	tran
FBgn0032729	1.42079024	0.263167	tran
FBgn0039737	1.784472805	0.187731	tran
FBgn0051549	0.571871053	0.078026	tran
map00670	2	1	pathway
FBgn0085453	0.603355323	13.9492	tran
FBgn0032945	0.827903914	0.719149	tran
map00730	2	1	pathway
FBgn0035620	6.974156582	0.526231	tran
FBgn0035619	5.648544715	0.664181	tran
FBgn0051469	2.450647256	0.139106	tran
FBgn0040077	1.826858525	0.371894	tran
FBgn0038655	3.947459277	0.533964	tran
FBgn0033422	0.633754092	0.025917	tran
map00740	2	1	pathway
FBgn0014930	0.74475936	10.6156	tran
map00760	2	1	pathway
FBgn0037802	0.741771279	0.409835	tran
FBgn0033373	1.069525371	0.045153	tran
map00770	2	1	pathway
FBgn0035632	0.548099441	2.37336	tran
FBgn0052099	0.818204474	0.093872	tran
map00780	2	1	pathway
FBgn0040069	2.362987847	0.404148	tran
FBgn0052750	1.049193494	0.123051	tran
map00785	2	1	pathway
map00790	2	1	pathway
FBgn0003162	0.72445366	22.8561	tran
FBgn0030041	0.622568421	83.4049	tran
FBgn0003141	0.595984403	0.750867	tran
map00830	2	1	pathway
FBgn0051075	0.781085453	2.66199	tran
FBgn0032405	0.535901901	2.56194	tran
FBgn0033204	1.258801357	0.212735	tran
FBgn0029866	0.510724367	1.05902	tran
map00860	2	1	pathway
FBgn0015221	1.879579863	16.5919	tran
FBgn0015222	1.058492984	16.8862	tran
FBgn0005674	0.577377066	0.306351	tran
map00900	2	1	pathway
FBgn0069973	0.945799054	62.2782	tran
FBgn0031775	3.887795355	0.259247	tran
FBgn0036380	1.999673737	0.801345	tran
FBgn0030073	0.680765129	7.84837	tran
FBgn0031633	0.551455712	1.60801	tran
FBgn0038876	0.794500856	0.141101	tran
map00910	2	1	pathway
FBgn0039486	0.990730414	5.09252	tran
FBgn0052698	0.959815148	2.46653	tran
FBgn0037788	0.618341064	2.82737	tran
FBgn0029962	0.602946523	0.549301	tran
FBgn0037646	0.598653429	1.47355	tran
FBgn0038956	0.562560086	0.144614	tran
FBgn0030056	0.530425265	0.156042	tran
map00920	2	1	pathway
FBgn0038115	1.322584484	13.351	tran
FBgn0035515	1.158402583	1.23911	tran
FBgn0030465	0.536515799	0.114438	tran
map00970	2	1	pathway
FBgn0027084	0.664214987	0.549497	tran
FBgn0027088	0.542778092	0.077182	tran
map00980	2	1	pathway
map00981	2	1	pathway
FBgn0027584	1.629473212	8.49108	tran
FBgn0036910	1.187307792	3.56373	tran
FBgn0031327	0.73863857	3.42896	tran
FBgn0034076	0.622141746	5.83537	tran
FBgn0030348	0.865218253	2.3238	tran
FBgn0004959	2.94205624	0.158209	tran
FBgn0037090	0.551148488	2.76479	tran
FBgn0028841	0.832337452	1.85944	tran
FBgn0038095	2.008493719	0.117092	tran
FBgn0015570	0.657689138	0.171197	tran
FBgn0010052	0.839402732	0.196599	tran
FBgn0034583	0.54682834	0.641354	tran
FBgn0003312	1.046452796	0.090168	tran
FBgn0034736	0.789573139	0.020136	tran
map00982	2	1	pathway
map00983	2	1	pathway
map01040	2	1	pathway
FBgn0039754	0.747576733	0.234613	tran
map01200	2	1	pathway
map01210	2	1	pathway
map01212	2	1	pathway
map01230	2	1	pathway
map01232	2	1	pathway
map01240	2	1	pathway
map01250	2	1	pathway
map01521	2	1	pathway
FBgn0003091	1.10365528	2.26677	tran
FBgn0036146	0.596665219	32.1844	tran
FBgn0003731	0.634216186	0.474812	tran
FBgn0265089	3.648032469	0.260744	tran
FBgn0015269	0.701082454	0.056929	tran
map01522	2	1	pathway
FBgn0265523	1.02103695	0.376948	tran
FBgn0020440	0.555470201	0.611681	tran
FBgn0004647	0.51070721	0.308635	tran
FBgn0001291	0.909913424	0.156645	tran
FBgn0267339	0.720995255	0.257301	tran
FBgn0000463	0.547372264	0.129732	tran
map01523	2	1	pathway
FBgn0003996	6.940498772	0.252971	tran
FBgn0050344	0.528893292	2.67277	tran
FBgn0039207	1.110943553	0.327118	tran
FBgn0024222	0.632210322	0.419011	tran
FBgn0038740	0.947263595	0.021963	tran
FBgn0020445	0.601865296	0.04309	tran
map01524	2	1	pathway
FBgn0038928	0.748687453	1.05288	tran
FBgn0004832	0.536480827	1.58309	tran
FBgn0264291	0.564181732	2.3972	tran
FBgn0036486	0.957054094	0.098602	tran
FBgn0037141	1.100334788	0.134059	tran
FBgn0002891	0.61985805	0.052817	tran
FBgn0028434	0.532196785	0.637581	tran
FBgn0263864	0.528086106	0.022326	tran
map02010	2	1	pathway
FBgn0031449	0.67982908	3.00954	tran
FBgn0004513	0.613316738	2.50084	tran
FBgn0031515	1.32777665	0.20203	tran
FBgn0035244	0.698807173	1.18268	tran
FBgn0031069	0.814016436	0.425748	tran
FBgn0010241	1.163339952	0.07713	tran
FBgn0034493	1.121910821	0.028303	tran
FBgn0028675	0.882630794	0.057675	tran
FBgn0032167	0.577607483	0.200718	tran
map03008	2	1	pathway
FBgn0028473	0.866818302	19.318	tran
FBgn0011824	0.566632017	14.5192	tran
FBgn0026196	0.532598016	4.21819	tran
FBgn0031764	1.062557863	1.49493	tran
FBgn0035831	0.813617682	3.94815	tran
FBgn0050349	0.609587472	1.77179	tran
FBgn0038146	0.873711208	0.612831	tran
FBgn0039312	0.643545112	0.237265	tran
FBgn0259937	0.8073668	0.689893	tran
FBgn0033661	0.968800048	0.077942	tran
FBgn0086451	0.648806272	0.198638	tran
FBgn0051380	1.126715534	0.158209	tran
FBgn0027330	0.702868895	0.297905	tran
FBgn0286786	0.563301474	1.16545	tran
FBgn0051300	0.698482086	0.058948	tran
FBgn0053509	0.638841301	0.029724	tran
FBgn0039115	0.536988037	0.190729	tran
map03010	2	1	pathway
FBgn0015288	0.744382471	395.292	tran
FBgn0015521	0.721935208	647.47	tran
FBgn0285948	0.719064272	43.0866	tran
FBgn0029897	0.509237618	458.753	tran
FBgn0020910	0.539138505	19.4419	tran
FBgn0001995	0.632875845	8.65041	tran
FBgn0086710	0.644553852	6.58411	tran
FBgn0038474	1.398902442	0.573383	tran
FBgn0034822	2.379372159	0.199601	tran
FBgn0038307	0.674215056	2.14907	tran
map03013	2	1	pathway
FBgn0284245	1.139949675	541.791	tran
FBgn0262508	1.033902149	0.753266	tran
FBgn0037737	0.86396915	2.41847	tran
FBgn0031609	1.118976531	0.588955	tran
FBgn0039301	1.224449424	0.359154	tran
FBgn0261532	0.933237781	0.35669	tran
FBgn0030243	0.52140156	0.652744	tran
FBgn0042177	0.560389278	0.823903	tran
FBgn0036365	0.555519467	0.544937	tran
FBgn0029992	0.518893813	0.604424	tran
FBgn0038676	1.942878402	0.039529	tran
FBgn0262647	0.84069161	0.139939	tran
FBgn0037569	0.525316892	1.3513	tran
FBgn0033766	1.223958425	0.049612	tran
FBgn0025388	1.046263078	0.041084	tran
FBgn0030122	0.509406177	0.448265	tran
FBgn0013433	0.612104131	0.065518	tran
map03015	2	1	pathway
FBgn0000711	0.774991634	6.43989	tran
FBgn0011207	1.291042705	0.822952	tran
map03018	2	1	pathway
FBgn0035388	3.113531527	3.1843	tran
FBgn0085436	0.633665584	1.50476	tran
FBgn0035271	0.717400615	20.3294	tran
FBgn0034564	0.587033284	15.0199	tran
novel759	0.886338257	0.210188	tran
FBgn0032921	0.610704864	0.86469	tran
FBgn0030789	1.022220213	0.221175	tran
FBgn0035675	0.717453109	0.919588	tran
map03020	2	1	pathway
FBgn0263757	0.81133809	5.16424	tran
FBgn0004463	0.770984429	0.523024	tran
FBgn0030801	0.543441987	2.14277	tran
FBgn0036188	0.542866531	0.55616	tran
FBgn0030687	0.534956332	0.345783	tran
FBgn0038057	0.573894578	0.372075	tran
FBgn0051155	0.529074415	0.47214	tran
map03022	2	1	pathway
FBgn0011836	1.03842035	0.221664	tran
FBgn0026324	2.055819284	0.05398	tran
FBgn0261850	0.549112411	0.269582	tran
FBgn0031309	0.53125198	1.23758	tran
FBgn0011290	0.549739993	0.593122	tran
FBgn0014342	0.528934068	0.28546	tran
FBgn0261793	0.546182444	0.033208	tran
map03030	2	1	pathway
FBgn0034726	0.964039201	1.78671	tran
FBgn0043002	0.64955363	4.61766	tran
FBgn0031252	3.380928113	0	tran
FBgn0288833	0.677718536	1.81238	tran
FBgn0025832	0.70445839	0.395662	tran
FBgn0011762	1.53260324	0.182198	tran
FBgn0014861	1.056018743	0.05186	tran
FBgn0259113	1.050390356	0.023547	tran
FBgn0263600	0.569582228	0.161432	tran
FBgn0017577	0.698483576	0.124728	tran
FBgn0005696	0.875482775	0.113429	tran
FBgn0288834	0.524341281	0.63022	tran
FBgn0020633	0.67759702	0.124784	tran
FBgn0284442	0.640679018	0.041247	tran
map03040	2	1	pathway
FBgn0013276	2.64589214	18.5269	tran
FBgn0013279	3.278166613	16.4	tran
FBgn0013275	2.987630283	13.3815	tran
FBgn0001230	2.937301786	3.50072	tran
FBgn0261565	0.683116335	4.98065	tran
FBgn0051157	2.805282796	0.227044	tran
FBgn0039977	0.535891109	15.1967	tran
FBgn0033688	0.789429855	0.668296	tran
FBgn0013278	2.821177293	0.880423	tran
FBgn0031601	0.675761545	9.55233	tran
FBgn0263599	0.670125757	0.58488	tran
FBgn0037220	1.066228215	0.653183	tran
FBgn0051354	2.032381574	0.394554	tran
FBgn0086683	0.582806377	2.28427	tran
FBgn0024998	4.496716098	0	tran
FBgn0031822	0.518041731	12.3769	tran
FBgn0028474	0.504739442	0.787309	tran
FBgn0033210	0.560558703	2.83427	tran
FBgn0051368	0.759107369	0.203793	tran
FBgn0033556	0.703596286	0.189938	tran
map03050	2	1	pathway
FBgn0050382	1.034461102	6.85391	tran
FBgn0029134	0.637617993	17.0851	tran
FBgn0263121	1.063787357	1.8622	tran
FBgn0026380	0.956408379	0.424061	tran
FBgn0028686	0.616327138	0.632349	tran
FBgn0015282	1.04284557	0.202221	tran
FBgn0261396	0.955594958	0.132383	tran
FBgn0028688	0.510098598	0.046431	tran
map03060	2	1	pathway
FBgn0086605	0.501099088	2.0804	tran
map03082	2	1	pathway
FBgn0032321	2.433058948	7.1337	tran
FBgn0261885	0.850359028	0.536991	tran
FBgn0027620	1.316265269	0.341556	tran
FBgn0030034	0.848922	0.646943	tran
FBgn0051151	0.699828577	0.694439	tran
FBgn0030093	0.69866572	1.34883	tran
FBgn0000043	0.537829422	2.59871	tran
FBgn0033019	1.387936311	0.334316	tran
FBgn0033566	0.627177236	2.99409	tran
FBgn0052202	0.716252421	1.53254	tran
FBgn0026577	0.589971858	0.242828	tran
FBgn0052831	0.590350433	1.48851	tran
FBgn0042085	0.548511412	0.284626	tran
FBgn0053554	0.680836692	0.028048	tran
FBgn0000581	0.709665763	0.01628	tran
FBgn0033183	0.500666365	0.207672	tran
FBgn0011604	0.576078429	0.060826	tran
map03083	2	1	pathway
FBgn0265623	0.674012256	0.511123	tran
FBgn0032587	0.694953231	0.626947	tran
FBgn0261617	0.58179723	0.221844	tran
FBgn0017578	0.535276519	2.82264	tran
FBgn0036004	0.53247616	0.401294	tran
FBgn0003044	0.6243241	0.373708	tran
FBgn0086655	0.577403446	0.30597	tran
FBgn0260938	0.681294949	0.116053	tran
FBgn0029999	0.656259872	0.331983	tran
FBgn0026176	0.623965287	0.712984	tran
map03250	2	1	pathway
FBgn0259108	1.031447772	0.844162	tran
FBgn0031450	1.775583813	0.52306	tran
FBgn0025455	2.530560669	0.036769	tran
FBgn0028380	0.729300537	0.073123	tran
map03265	2	1	pathway
FBgn0024320	0.826711143	0.471282	tran
map03272	2	1	pathway
FBgn0035090	0.780896503	8.59659	tran
FBgn0284408	0.866084701	0.715918	tran
FBgn0033124	0.98325815	0.647302	tran
FBgn0029508	0.580057554	5.06601	tran
map03320	2	1	pathway
FBgn0037913	1.537823351	7.31399	tran
FBgn0030608	0.838830507	11.4029	tran
FBgn0010387	0.690112446	293.939	tran
map03410	2	1	pathway
FBgn0038704	1.084389068	0.277914	tran
FBgn0037578	0.537623677	1.02609	tran
map03420	2	1	pathway
FBgn0051973	0.702123061	0.546201	tran
FBgn0025638	0.523885255	1.33365	tran
FBgn0260653	0.680287974	0.059941	tran
map03430	2	1	pathway
map03440	2	1	pathway
FBgn0020270	1.71610947	0.290015	tran
FBgn0036958	0.798162525	0.466842	tran
FBgn0037443	0.572855897	1.21061	tran
FBgn0026015	0.75977295	0.632658	tran
FBgn0034728	0.859227539	0.269759	tran
FBgn0050169	0.731538286	0.316105	tran
FBgn0002878	0.940238763	0.074342	tran
map03450	2	1	pathway
FBgn0035996	0.571544361	0.243757	tran
